Age (ka),Mass Flux (g/cm2kyr)
2.867,1.89950263
2.874,1.87989719
2.88,1.870042928
2.88,1.87008282
2.92,1.852854798
2.93,1.863165045
2.93208,1.868193852
2.94,1.862997179
2.946,1.86745126
2.9515,1.856923821
2.96,1.847384616
2.96055,1.849653618
2.9608,1.863564816
2.984,1.835627558
3,1.846201483
3,1.844255403
3,1.826680165
3.02814,1.807719908
3.05,1.808224594
3.053,1.813841071
3.061,1.7821474
3.07,1.773582423
3.08,1.760395241
3.086,1.757572235
3.0925,1.754605414
3.127,1.784902846
3.13,1.777735342
3.14,1.786968444
3.153,1.762181699
3.16,1.7900542
3.18,1.791188553
3.18383,1.777354283
3.185,1.779858186
3.18767,1.799335764
3.22125,1.8091008
3.231,1.818049521
3.29725,1.829429458
3.3,1.812674623
3.3,1.808893706
3.305957447,1.802440113
3.308,1.808822481
3.318181818,1.790572253
3.33,1.795488694
3.3355,1.793446418
3.35,1.808938297
3.3752,1.829488444
3.39,1.833569175
3.39356,1.816754768
3.39917,1.82016403
3.413479734,1.829042903
3.415,1.829596693
3.42,1.82039673
3.42767,1.824198463
3.42767,1.832364458
3.43,1.829904054
3.43519,1.866938374
3.44408,1.863055431
3.44655,1.852636869
3.45,1.848651849
3.48071,1.769567744
3.4817,1.765968333
3.489,1.771320268
3.51,1.773114577
3.5175,1.769901654
3.518,1.775471941
3.562625,1.804176572
3.56858,1.804846897
3.57,1.803521544
3.57033,1.818469797
3.601156069,1.818961268
3.621,1.830197649
3.673,1.814023231
3.708,1.810269094
3.71125,1.81297165
3.73,1.829298682
3.73,1.834422364
3.74,1.828576655
3.7896,1.808224432
3.79,1.799912236
3.79875,1.790013697
3.81,1.776706076
3.82,1.775799138
3.822,1.774983232
3.84,1.766689312
3.852,1.76841628
3.8585,1.760645682
3.86626,1.760882814
3.884,1.779664405
3.903,1.78049581
3.906976744,1.775145983
3.9086,1.773381445
3.91311,1.75782506
3.92,1.746755084
3.925,1.741623699
3.9296875,1.736057429
3.93,1.740393358
3.93,1.762037387
3.93329,1.741632451
3.94475,1.748852886
3.96011,1.740837335
3.97,1.728898422
3.989,1.730918502
4.007,1.735462033
4.03975,1.745562482
4.04,1.744919047
4.041,1.741842402
4.05,1.768790393
4.05,1.796349342
4.058,1.782182352
4.1,1.836366446
4.1,1.909117323
4.116272727,1.907231749
4.1185,1.931458568
4.146,1.923696495
4.146,1.9099227
4.18,1.909681739
4.181629846,1.897747726
4.2,1.892656451
4.204,1.91006616
4.22,1.903670041
4.223,1.913602881
4.25,1.891951532
4.2685,1.895281818
4.2765,1.899657283
4.28,1.888180976
4.29,1.91864119
4.3,1.924392952
4.32892,2.003288109
4.32915625,2.004781919
4.33335,2.006922796
4.349,1.997157838
4.349,1.988814813
4.36,1.979172338
4.36575,1.987040902
4.371,1.991659403
4.378,1.973491326
4.38586,1.956517389
4.3915,1.968348781
4.439,1.966361449
4.449,1.982313171
4.45,1.978933913
4.45,1.970164116
4.452,1.968789324
4.46,1.968753668
4.47,1.969430869
4.497,1.99233025
4.5,1.986655776
4.501,1.987574756
4.502,1.984943034
4.54,1.983255978
4.563,1.979211279
4.576,1.963396097
4.59,1.957466586
4.59,1.95314628
4.59225,1.952897403
4.6184,1.971376803
4.625,1.971404854
4.634,1.95632683
4.6395,1.948430911
4.6475,1.931968678
4.6485,1.914496672
4.65152,1.913343105
4.66,1.914505135
4.686,1.913970569
4.696,1.914273044
4.7,1.908090622
4.7,1.895965815
4.7247,1.895398688
4.73639,1.863101851
4.76,1.863712173
4.76,1.866560139
4.78,1.864905268
4.7835,1.849892152
4.80045,1.867721039
4.817545455,1.883800025
4.82,1.91020501
4.83783,1.956316014
4.83843,1.941411638
4.8545,1.946835774
4.872,1.953733929
4.89275,1.953979233
4.8968,1.95307899
4.916,1.982891981
4.917,1.96734205
4.935294118,1.991685427
4.9461,1.981467847
4.94675,1.971524751
4.949562769,1.959156707
